"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.326667625E0,4.769165416E-2,7.072795251E-2,-9.234916985E-2,1.257191565E-1
2.336655625E0,2.539525243E-2,3.471313776E-2,1.098802918E-1,1.179983021E-1
2.346643625E0,2.727950854E-2,2.181665596E-2,1.022467518E-1,1.080487682E-1
2.356630625E0,1.844101610E-2,7.481735352E-2,-9.025294304E-2,1.186730854E-1
2.366618625E0,1.281516210E-2,4.674250031E-2,-1.285738403E-1,1.374056844E-1
2.376606625E0,-2.218419914E-2,1.057234148E-2,1.198386848E-2,2.734092536E-2
2.386594625E0,2.227089325E-2,2.328366298E-2,-7.325976491E-3,3.304226959E-2
2.396582625E0,-4.565817757E-3,7.877928067E-2,2.515647590E-2,8.282433238E-2
2.406570625E0,4.402808348E-3,5.900239392E-2,3.952659309E-2,7.115489281E-2
2.416558625E0,-4.108261141E-3,4.243368710E-2,-1.237838012E-1,1.309195365E-1
2.426546625E0,2.292810887E-3,5.090675939E-2,-5.986671746E-2,7.861793048E-2
2.436534625E0,-2.075661971E-2,5.784339355E-2,3.623344123E-2,7.134113612E-2
2.446522625E0,-6.094084069E-3,2.214013946E-2,-2.962901115E-2,3.748602323E-2
2.456510625E0,-2.046918338E-2,1.807965475E-2,-6.600337029E-2,7.143042960E-2
2.466497625E0,8.128554234E-3,1.101876841E-2,-1.276751232E-1,1.284072573E-1
2.476485625E0,1.138141112E-2,-1.748914764E-2,-7.154185295E-2,7.452277188E-2
2.486473625E0,5.864307338E-3,8.351527867E-3,-2.618558586E-2,2.810379022E-2
2.496461625E0,4.199766068E-3,6.388753474E-3,-6.660154045E-2,6.703893940E-2
2.506449625E0,-1.523449440E-2,3.641850332E-3,-5.028546989E-2,5.266859952E-2
2.516437625E0,2.617246845E-2,-1.319528480E-2,-1.107591283E-1,1.145718035E-1
2.526425625E0,1.749631391E-2,8.876700337E-3,-6.126712561E-3,2.055367159E-2
2.536413625E0,1.241238716E-2,3.896860883E-2,-4.714142203E-2,6.240940234E-2
2.546401625E0,-1.854429369E-2,1.869437527E-2,-5.283017814E-2,5.902879143E-2
2.556389625E0,-1.179880068E-2,-2.303292706E-2,1.707503915E-2,3.100458657E-2
2.566376625E0,9.515084953E-3,6.134345918E-3,-1.493794030E-1,1.498077871E-1
2.576364625E0,2.742277218E-2,2.288053400E-2,-1.365067577E-1,1.411014606E-1
2.586352625E0,-1.236937586E-2,-1.903863695E-3,1.232031727E-1,1.238371831E-1
2.596340625E0,-1.340710818E-2,3.710618385E-2,1.393040657E-2,4.184107619E-2
2.606328625E0,3.233042479E-2,7.153025445E-2,-1.133050060E-1,1.378399726E-1
2.616316625E0,-3.828305934E-2,5.684511395E-2,3.249180794E-2,7.584640529E-2
2.626304625E0,1.415161862E-2,-9.219213556E-3,8.241650462E-3,1.879327035E-2
2.636292625E0,-1.326624053E-2,2.942853388E-2,6.602149665E-2,7.349061004E-2
2.646280625E0,-2.869653786E-2,7.435843846E-2,8.391339183E-3,8.014414032E-2
2.656268625E0,-1.341696051E-2,3.121408625E-2,2.066581428E-2,3.976694469E-2
2.666256625E0,2.654978517E-2,2.334450828E-2,4.671165168E-2,5.858187059E-2
2.676243625E0,2.544972290E-2,8.411356760E-2,2.395896614E-2,9.108684158E-2
2.686231625E0,1.662555272E-2,6.955587813E-2,6.257865608E-2,9.502903442E-2
2.696219625E0,4.588837742E-3,2.072126690E-2,1.193106812E-1,1.211836086E-1
2.706207625E0,-4.148326559E-3,6.003699020E-2,5.898612678E-2,8.426750239E-2
2.716195625E0,2.960581644E-2,7.281636781E-2,-1.215384704E-1,1.447422798E-1
2.726183625E0,1.302960760E-2,2.768067550E-2,-6.301018059E-2,7.004479516E-2
2.736171625E0,-4.061752365E-2,-6.397672762E-3,5.763892829E-2,7.080225631E-2
2.746159625E0,1.301419470E-3,3.640390813E-2,-1.092639953E-1,1.151762080E-1
2.756147625E0,-3.564439250E-3,4.372277431E-2,-1.107608825E-1,1.191316890E-1
2.766135625E0,-1.658117669E-2,2.885740024E-2,-1.615047741E-1,1.648983839E-1
2.776123625E0,2.188766080E-2,2.815523415E-2,-2.103038818E-1,2.133061405E-1
2.786111625E0,4.195771918E-2,2.155446315E-2,-1.588109618E-1,1.656682428E-1
2.796098625E0,1.873877300E-3,2.316059051E-2,-2.124644279E-2,3.148548396E-2
2.806086625E0,-1.658375883E-2,-4.011666166E-3,2.620488167E-2,3.126995916E-2
2.816074625E0,-3.199147015E-3,2.308976382E-2,-2.740706921E-1,2.750602043E-1
2.826062625E0,1.239502253E-2,-1.331401868E-2,-2.688321716E-1,2.694469078E-1
2.836050625E0,3.559487275E-2,-5.980923202E-2,9.221702278E-2,1.155340577E-1
2.846038625E0,2.491238434E-2,1.477548912E-2,4.506566048E-2,5.357103440E-2
2.856026625E0,2.300866568E-2,4.374006928E-2,-1.146527892E-1,1.248513293E-1
2.866014625E0,-9.476520167E-3,1.521760029E-2,-4.040718377E-2,4.420543284E-2
2.876002625E0,-5.120458138E-3,-3.356690076E-2,8.091961741E-3,3.490609923E-2
2.885990625E0,3.068906567E-2,1.600044654E-2,1.655346751E-3,3.464928879E-2
2.895977625E0,1.838401489E-2,5.860078613E-2,2.665277839E-2,6.695068883E-2
2.905965625E0,-2.621358397E-2,1.478695628E-2,1.604750794E-1,1.632729530E-1
2.915953625E0,-5.520374570E-2,-1.739335609E-2,5.389612556E-2,7.908713375E-2
2.925941625E0,-1.445789394E-2,1.637411102E-2,-9.728948236E-2,9.971151180E-2
2.935929625E0,2.691701086E-2,3.422770237E-2,1.961740851E-2,4.775880861E-2
2.945917625E0,-1.609419156E-2,1.833748613E-2,1.489484632E-1,1.509335320E-1
2.955905625E0,-4.836446312E-2,2.219050089E-2,1.249982679E-1,1.358532539E-1
2.965893625E0,2.214368662E-2,6.739980415E-2,-1.750539422E-2,7.307198700E-2
2.975881625E0,-1.175950214E-2,8.778851523E-2,-2.543889642E-2,9.215338707E-2
2.985869625E0,-2.478266066E-2,6.841417045E-3,4.648536444E-3,2.612650279E-2
2.995857625E0,2.156385524E-2,2.081186905E-2,3.054468513E-2,4.279148906E-2
