"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.778518292E0,-5.074447632E-2,1.442999268E-1,9.790241089E0,9.791435954E0
1.788505292E0,-5.463638306E-2,1.451980591E-1,9.790690155E0,9.791919185E0
1.798492291E0,-5.463638306E-2,1.407073975E-1,9.793534241E0,9.794697373E0
1.808480292E0,-5.972579956E-2,1.435514832E-1,9.795929260E0,9.797163073E0
1.818467292E0,-5.912704468E-2,1.329235840E-1,9.786798248E0,9.787879476E0
1.828454292E0,-5.493576050E-2,1.375639343E-1,9.786049805E0,9.787170815E0
1.838442292E0,-5.927673340E-2,1.416055298E-1,9.785451050E0,9.786655103E0
1.848429292E0,-6.017486572E-2,1.484912109E-1,9.789792023E0,9.791103028E0
1.858416292E0,-5.463638306E-2,1.407073975E-1,9.795929260E0,9.797092108E0
1.868404292E0,-5.373825073E-2,1.422042847E-1,9.792187042E0,9.793366986E0
1.878391291E0,-5.972579956E-2,1.360670471E-1,9.805209961E0,9.806335900E0
1.888378292E0,-5.673202515E-2,1.390608215E-1,9.786947937E0,9.788100242E0
1.898366292E0,-5.553451538E-2,1.459465027E-1,9.783355408E0,9.784601550E0
1.908353291E0,-5.269042969E-2,1.426533508E-1,9.784403229E0,9.785584949E0
1.918340292E0,-5.298980713E-2,1.374142456E-1,9.796228638E0,9.797335664E0
1.928328292E0,-5.688171387E-2,1.408570862E-1,9.786349182E0,9.787528113E0
1.938315292E0,-5.613327026E-2,1.375639343E-1,9.786648560E0,9.787776295E0
1.948302292E0,-5.882766724E-2,1.375639343E-1,9.794282684E0,9.795425352E0
1.958290291E0,-6.406677246E-2,1.389111328E-1,9.792037354E0,9.793232173E0
1.968277292E0,-5.628295898E-2,1.429527283E-1,9.790241089E0,9.791446463E0
1.978264292E0,-6.631210327E-2,1.440005493E-1,9.780361633E0,9.781646443E0
1.988252291E0,-5.748046875E-2,1.282832336E-1,9.798473969E0,9.799482267E0
1.998239292E0,-5.224136353E-2,1.335223389E-1,9.801467743E0,9.802516375E0
2.008226292E0,-5.104385376E-2,1.282832336E-1,9.785451050E0,9.786425002E0
2.018214292E0,-4.864883423E-2,1.335223389E-1,9.787696381E0,9.788727975E0
2.028201292E0,-4.879852295E-2,1.465452576E-1,9.786199493E0,9.787418318E0
